Make,Model,Variant,Fuel_Type,Transmission,Ex_Showroom_Price,Market_Status
Skoda,Laura,Base Model,Petrol,Manual,1444000,Active
Skoda,Laura,Active,Petrol,Manual,1517000,Active
Skoda,Laura,Ambiente,Petrol,Manual,1743000,Active
Skoda,Laura,Ambition,Petrol,Manual,1932000,Active
Skoda,Laura,Elegance,Petrol,Manual,2110000,Active
Skoda,Laura,RS,Petrol,Manual,1939000,Active
Skoda,Laura,Top Model,Petrol,Manual,2300000,Active
Skoda,Laura,L&K 2.0 TDI AT,Petrol,Automatic,1943000,Active
Skoda,Karoq,Base Model,Petrol,Manual,3137000,Active
Skoda,Karoq,1.5 TSI Style,Petrol,Manual,2499000,Active
Skoda,Fabia Scout,Base Model,Petrol,Manual,963000,Active
Skoda,Fabia Scout,Scout 1.2 TDI,Petrol,Manual,823000,Active
Skoda,Superb 2024,Superb [2024] Base Model,Petrol,Manual,6809000,Active
Skoda,Kylaq,Base Model,Petrol,Manual,885000,Active
Skoda,Kylaq,Classic Plus,Petrol,Manual,1079000,Active
Skoda,Kylaq,Signature,Petrol,Automatic,1235000,Active
Skoda,Kylaq,Signature Plus,Petrol,Automatic,1392000,Active
Skoda,Kylaq,Prestige,Petrol,Manual,1506000,Active
Skoda,Kylaq,Prestige Plus,Petrol,Manual,1534000,Active
Skoda,Kylaq,Sportline,Petrol,Manual,1365000,Active
Skoda,Kylaq,base model,Petrol,Manual,759000,Active
Skoda,Kylaq,top model,Petrol,Manual,1365000,Active
Skoda,Octaviars,Octavia RS Base Model,Petrol,Manual,6319000,Active
Skoda,Octaviars,Skoda Octavia RS base model,Petrol,Manual,4999000,Active
Skoda,Kushaq,Classic Plus,Petrol,Manual,1499000,Active
Skoda,Kushaq,Signature,Petrol,Automatic,1842000,Active
Skoda,Kushaq,Sportline,Petrol,Manual,1859000,Active
Skoda,Kushaq,Prestige,Petrol,Manual,2224000,Active
Skoda,Kushaq,Monte Carlo,Petrol,Manual,2247000,Active
Skoda,Kushaq,base model,Petrol,Manual,1069000,Active
Skoda,Kushaq,top model,Petrol,Manual,1898999,Active
Skoda,Old Generation Kushaq 2024,Kushaq [2024-2026] Base Model,Petrol,Manual,1329000,Active
Skoda,Old Generation Kushaq 2024,Kushaq [2024-2026] Active,Petrol,Manual,1411000,Active
Skoda,Old Generation Kushaq 2024,Kushaq [2024-2026] Onyx,Petrol,Manual,1637000,Active
Skoda,Old Generation Kushaq 2024,Kushaq [2024-2026] Signature,Petrol,Automatic,2002000,Active
Skoda,Old Generation Kushaq 2024,Kushaq [2024-2026] Ambition,Petrol,Manual,2048000,Active
Skoda,Old Generation Kushaq 2024,Kushaq [2024-2026] Sportline,Petrol,Manual,2110000,Active
Skoda,Old Generation Kushaq 2024,Kushaq [2024-2026] Anniversary Edition,Petrol,Manual,2182000,Active
Skoda,Old Generation Kushaq 2024,Kushaq [2024-2026] Monte Carlo,Petrol,Manual,2263000,Active
Skoda,Old Generation Kushaq 2024,Kushaq [2024-2026] Prestige,Petrol,Manual,2286000,Active
Skoda,Old Generation Kushaq 2024,Kushaq [2024-2026] Top Model,Petrol,Manual,2352000,Active
Skoda,Kodiaq,Base Model,Petrol,Manual,4781000,Active
Skoda,Kodiaq,Sportline,Petrol,Manual,5253000,Active
Skoda,Kodiaq,Top Model,Petrol,Manual,5549000,Active
Skoda,Kodiaq,base model,Petrol,Manual,3999000,Active
Skoda,Kodiaq,top model,Petrol,Manual,4649000,Active
Skoda,Yeti,Base Model,Petrol,Manual,2840000,Active
Skoda,Yeti,Style 4x4 [2015-2017],Petrol,Manual,2369000,Active
Skoda,Octavia,Base Model,Petrol,Manual,3251000,Active
Skoda,Octavia,Top Model,Petrol,Manual,3615999,Active
Skoda,Kodiaq 2022 2025,Kodiaq [2022-2025] Base Model,Petrol,Manual,4571000,Active
Skoda,Kodiaq 2022 2025,Kodiaq [2022-2025] Sportline,Petrol,Manual,4739000,Active
Skoda,Kodiaq 2022 2025,Kodiaq [2022-2025] Top Model,Petrol,Manual,4899000,Active
Skoda,Slavia 2023 2024,Slavia [2023-2024] Base Model,Petrol,Manual,1357000,Active
Skoda,Slavia 2023 2024,Slavia [2023-2024] Ambition Plus,Petrol,Manual,1628000,Active
Skoda,Slavia 2023 2024,Slavia [2023-2024] Ambition,Petrol,Manual,1957999,Active
Skoda,Slavia 2023 2024,Slavia [2023-2024] Style,Petrol,Manual,2264000,Active
Skoda,Slavia 2023 2024,Slavia [2023-2024] Top Model,Petrol,Manual,2163000,Active
Skoda,Rapid Tsi,Rapid TSI Base Model,Petrol,Manual,900000,Active
Skoda,Rapid Tsi,Rapid TSI Rider Plus,Petrol,Manual,1116000,Active
Skoda,Rapid Tsi,Rapid TSI Ambition,Petrol,Manual,1345000,Active
Skoda,Rapid Tsi,Rapid TSI Onyx,Petrol,Manual,1368000,Active
Skoda,Rapid Tsi,Rapid TSI Style,Petrol,Manual,1519000,Active
Skoda,Rapid Tsi,Rapid TSI Matte,Petrol,Automatic,1582000,Active
Skoda,Rapid Tsi,Rapid TSI Monte Carlo,Petrol,Manual,1554000,Active
Skoda,Rapid Tsi,Rapid TSI Top Model,Petrol,Manual,900000,Active
Skoda,Rapid Tsi,Rapid TSI Matte Limited Edition AT,Petrol,Automatic,1349000,Active
Skoda,Slavia,Base Model,Petrol,Manual,1176000,Active
Skoda,Slavia,Signature,Petrol,Automatic,1709000,Active
Skoda,Slavia,Sportline,Petrol,Manual,1934000,Active
Skoda,Slavia,Prestige,Petrol,Manual,2140000,Active
Skoda,Slavia,Monte Carlo,Petrol,Manual,2147000,Active
Skoda,Slavia,base model,Petrol,Manual,1000000,Active
Skoda,Slavia,top model,Petrol,Manual,1798999,Active
Bmw,5 Series 2021 2024,5 Series [2021-2024] 530i M Sport [2021-2023],Petrol,Manual,6538000,Active
Bmw,5 Series 2021 2024,5 Series [2021-2024] 530i M Sport,Petrol,Manual,6540000,Active
Bmw,5 Series 2021 2024,5 Series [2021-2024] 520d Luxury Line,Petrol,Manual,6589000,Active
Bmw,5 Series 2021 2024,5 Series [2021-2024] Carbon Edition,Petrol,Manual,6630000,Active
Bmw,5 Series 2021 2024,5 Series [2021-2024] 50 Jahre M Edition,Petrol,Manual,6750000,Active
Bmw,5 Series 2021 2024,5 Series [2021-2024] 520d M Sport [2023],Petrol,Manual,6890000,Active
Bmw,5 Series 2021 2024,5 Series [2021-2024] 520d M Sport,Petrol,Manual,6890000,Active
Bmw,5 Series 2021 2024,5 Series [2021-2024] 530d M Sport,Petrol,Manual,7448999,Active
Bmw,X1 2020 2023,X1 [2020-2023] sDrive20i SportX,Petrol,Manual,4145000,Active
Bmw,X1 2020 2023,X1 [2020-2023] sDrive20d M Sport,Petrol,Manual,4290000,Active
Bmw,X1 2020 2023,X1 [2020-2023] sDrive20i Tech Edition,Petrol,Manual,4300000,Active
Bmw,X1 2020 2023,X1 [2020-2023] sDrive20i xLine,Petrol,Manual,4347000,Active
Bmw,X1 2020 2023,X1 [2020-2023] sDrive20d xLine,Petrol,Manual,4446000,Active
Bmw,M2,3.0 Petrol | Petrol Turbo | Automatic,Petrol,Automatic,10200000,Active
Bmw,M2,3.0 Petrol | Petrol Turbo | Manual,Petrol,Manual,10200000,Active
Bmw,M2,CS | Petrol Turbo | Automatic,Petrol,Automatic,16600000,Active
Bmw,X3 M40I,X3 M40i xDrive,Petrol,Manual,8770000,Active
Bmw,8 Series,840i Gran Coupe,Petrol,Manual,13100000,Active
Bmw,8 Series,840i M Sport Edition,Petrol,Manual,15700000,Active
Bmw,8 Series,840i M Sport,Petrol,Manual,16200000,Active
Bmw,3 Series,LWB 50 Jahre Edition,Petrol,Manual,6055000,Active
Bmw,3 Series,LWB 320Ld M Sport Pro,Petrol,Manual,6149000,Active
Bmw,3 Series,LWB 330Li M Sport,Petrol,Manual,6200000,Active
Bmw,3 Series,LWB 320Ld M Sport,Petrol,Manual,6350000,Active
Bmw,1 Series,116i Hatchback,Petrol,Automatic,2280000,Active
Bmw,1 Series,118d Hatchback,Petrol,Automatic,2607000,Active
Bmw,1 Series,118d Sport Line [2013-2017],Petrol,Manual,3030000,Active
Bmw,1 Series,118d Sport plus,Petrol,Manual,3268000,Active
Bmw,1 Series,118i Hatchback,Petrol,Automatic,3702000,Active
Bmw,I7,i7 eDrive50 M Sport,Petrol,Manual,20500000,Active
Bmw,I7,i7 xDrive60 M Sport,Petrol,Manual,21300000,Active
Bmw,I7,i7 M70 xDrive,Petrol,Manual,25800000,Active
Bmw,M340I 2021 2022,M340i [2021-2022] xDrive,Petrol,Manual,6590000,Active
Bmw,M340I 2021 2022,M340i [2021-2022] 50 Jahre M Edition,Petrol,Manual,6890000,Active
Bmw,M6,Gran Coupe [2014-2015],Petrol,Manual,17600000,Active
Bmw,M6,Gran Coupe,Petrol,Manual,18500000,Active
Bmw,I4,i4 eDrive35 M Sport,Petrol,Manual,7250000,Active
Bmw,I4,i4 eDrive40 M Sport,Petrol,Manual,7750000,Active
Bmw,6 Series Gt,6 Series GT 620d Luxury Line,Petrol,Manual,7148999,Active
Bmw,6 Series Gt,6 Series GT 630i M Sport [2021-2023],Petrol,Manual,7186000,Active
Bmw,6 Series Gt,6 Series GT 630i M Sport,Petrol,Manual,7350000,Active
Bmw,6 Series Gt,6 Series GT 620d M Sport,Petrol,Manual,7550000,Active
Bmw,6 Series Gt,6 Series GT 630i M Sport Signature,Petrol,Automatic,7690000,Active
Bmw,6 Series Gt,6 Series GT 620d M Sport Signature,Petrol,Automatic,7890000,Active
Bmw,6 Series Gt,6 Series GT 630d M Sport,Petrol,Manual,7989000,Active
Bmw,5 Series,530Li | Petrol 2.0L Turbo | Automatic,Petrol,Automatic,7580000,Active
Bmw,3 Series Gran Limousine,330Li M Sport [2023],Petrol,Manual,5890000,Active
Bmw,3 Series Gran Limousine,320Ld M Sport [2023],Petrol,Manual,6050000,Active
Bmw,3 Series Gran Limousine,330Li M Sport,Petrol,Manual,6060000,Active
Bmw,3 Series Gran Limousine,320Ld M Sport,Petrol,Manual,6200000,Active
Bmw,3 Series Gran Limousine,330Li M Sport Pro Edition,Petrol,Manual,6360000,Active
Bmw,3 Series Gran Limousine,320Ld M Sport Pro Edition,Petrol,Manual,6500000,Active
Bmw,X5,xDrive40i xLine,Petrol,Manual,9540000,Active
Bmw,X5,xDrive30d xLine,Petrol,Manual,9740000,Active
Bmw,X5,xDrive40i M Sport Pro,Petrol,Manual,10900000,Active
Bmw,X5,xDrive30d M Sport Pro,Petrol,Manual,11100000,Active
Bmw,Z4,M 40i,Petrol,Manual,9050000,Active
Bmw,Z4,M 40i Pure Impulse MT,Petrol,Manual,9520000,Active
Bmw,Z3,Roadster,Petrol,Manual,7000000,Active
Bmw,2 Series Gran Coupe,218 M Sport,Petrol,Manual,4580000,Active
Bmw,2 Series Gran Coupe,218 M Sport Pro,Petrol,Manual,4820000,Active
Bmw,X7 2019 2023,X7 [2019-2023] xDrive30d DPE [2019-2020],Petrol,Manual,9249000,Active
Bmw,X7 2019 2023,X7 [2019-2023] xDrive30d DPE,Petrol,Manual,9584000,Active
Bmw,X7 2019 2023,X7 [2019-2023] xDrive30d DPE Signature [2019-2020],Petrol,Automatic,10200000,Active
Bmw,X7 2019 2023,X7 [2019-2023] xDrive 40i [2019-2019],Petrol,Manual,10500000,Active
Bmw,X7 2019 2023,X7 [2019-2023] xDrive30d DPE Signature 7STR,Petrol,Automatic,10700000,Active
Bmw,X7 2019 2023,X7 [2019-2023] xDrive30d DPE Signature,Petrol,Automatic,11800000,Active
Bmw,X7 2019 2023,X7 [2019-2023] xDrive40i M Sport (Petrol),Petrol,Manual,11800000,Active
Bmw,X7 2019 2023,X7 [2019-2023] 50 Jahre M Edition,Petrol,Manual,12100000,Active
Bmw,X7 2019 2023,X7 [2019-2023] M50d,Petrol,Manual,17800000,Active
Bmw,X7 2019 2023,X7 [2019-2023] Dark Shadow Edition,Petrol,Manual,20200000,Active
Bmw,X5 M,Competition [2020-2023],Petrol,Manual,20800000,Active
Bmw,X5 M,Competition,Petrol,Manual,20800000,Active
Bmw,M5,Competition,Petrol,Manual,20500000,Active
Bmw,Xm,XM Plug-in Hybrid,Hybrid,Manual,25500000,Active
Bmw,X3,xDrive20 Petrol 2.0L Turbo Automatic,Petrol,Automatic,7250000,Active
Bmw,X3,xDrive20d Diesel 2.0L Turbo Automatic,Diesel,Automatic,7500000,Active
Bmw,Ix1,iX1 xDrive30 M Sport,Petrol,Manual,6690000,Active
Bmw,M340I,M340i 50 Jahre Edition,Petrol,Manual,7275000,Active
Bmw,M340I,M340i xDrive,Petrol,Manual,7640000,Active
Bmw,7 Series,740i M Sport,Petrol,Manual,18300000,Active
Bmw,7 Series,740d M Sport,Petrol,Manual,18300000,Active
Bmw,Ix1 Lwb,iX1 LWB eDrive20L M Sport,Petrol,Manual,5140000,Active
Bmw,M4 Competition 2022 2024,M4 Competition [2022-2024] M xDrive Coupe [2022-2023],Petrol,Manual,14700000,Active
Bmw,M4 Competition 2022 2024,M4 Competition [2022-2024] M xDrive Coupe,Petrol,Manual,14800000,Active
Bmw,M4 Competition 2022 2024,M4 Competition [2022-2024] 50 Jahre Edition [2022-2023],Petrol,Manual,15300000,Active
Bmw,M4 Competition 2022 2024,M4 Competition [2022-2024] 50 Jahre Edition,Petrol,Manual,15300000,Active
Bmw,M3,Sedan,Petrol,Manual,13000000,Active
Bmw,X7,Signature Edition,Petrol,Automatic,12600000,Active
Bmw,X7,xDrive40i M Sport,Petrol,Manual,12800000,Active
Bmw,X7,xDrive40d DPE 7 Seater,Petrol,Automatic,12900000,Active
Bmw,X7,xDrive40d M Sport,Petrol,Manual,13200000,Active
Bmw,X7,xDrive40d M Sport Pro,Petrol,Manual,13300000,Active
Bmw,X5 2019 2023,X5 [2019-2023] xDrive30d Sport,Petrol,Manual,7330000,Active
Bmw,X5 2019 2023,X5 [2019-2023] xDrive30d SportX,Petrol,Manual,7647000,Active
Bmw,X5 2019 2023,X5 [2019-2023] xDrive40i SportX Plus,Petrol,Manual,7989000,Active
Bmw,X5 2019 2023,X5 [2019-2023] xDrive30d SportX Plus,Petrol,Manual,8148999,Active
Bmw,X5 2019 2023,X5 [2019-2023] xDrive30d xLine [2019-2020],Petrol,Manual,8290000,Active
Bmw,X5 2019 2023,X5 [2019-2023] xDrive40i M Sport [2019-2019],Petrol,Manual,8290000,Active
Bmw,X5 2019 2023,X5 [2019-2023] xDrive30d xLine,Petrol,Manual,9473000,Active
Bmw,X5 2019 2023,X5 [2019-2023] xDrive40i M Sport [2019-2023],Petrol,Manual,9826000,Active
Bmw,X5 2019 2023,X5 [2019-2023] xDrive40i M Sport,Petrol,Manual,9850000,Active
Bmw,X5 2019 2023,X5 [2019-2023] xDrive30d M Sport [2023],Petrol,Manual,9990000,Active
Bmw,X5 2019 2023,X5 [2019-2023] xDrive30d M Sport,Petrol,Manual,9990000,Active
